,class,generated_data
69,1 ,how can i get to neuperlach süd from garching forschungszentrum?
375,1 ,How could i get to milbertshofen in garching
334,1 ,when is the next freight_train from nordfriedhof to garching forschungszentrum
345,1 ,how may i get to sendlinger tor
16,1 ,thats this cheapest thing in neuperlach js to lehel
390,0 ,when does the next rocket leaves from garching forschungszentrum?
292,1 ,How could i get in olympiazentrum to hauptbahnhof
317,0 ,when Is another last commuter_train from garching
408,1 ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
166,0 ,when is the next u6 leaving from garching?
123,0 ,when another last commuter_train during garchingforschungszentrum Is Leaving
330,0 ,when does the next freight_train come in garching forschungszentrum
385,1 ,How could i get in garching to milbertshofen
234,0 ,show us this Next Bus in michaelibad
51,1 ,in need to be at hauptbahnhof at pm will you search a connection from garching forschungszentrum
112,1 ,how must i get from garching to hauptbahnhof
171,0 ,when does another last commuter_train leave from garching forschungszentrum
346,1 ,how do i get to untere straussäcker?
400,1 ,why to get from untere strasscker to frtmaning
180,0 ,When seems this Next subway_station returning in garching
76,1 ,could You find a Bus in quiddestrae to lehel
238,0 ,When Does this Next Train begins At sendlinger ¬
220,0 ,show us this Next Bus in garching
257,0 ,when must i get a bus in mariahilfplatz
163,0 ,When this Next Train In garching forschungszentrum seems returning
91,1 ,seems there a Bus in odeonsplatz to hauptbahnhof At noon
368,0 ,When seems this Next Train in garching
211,0 ,When Does this Next Bus leave In garching
73,1 ,how will i get to neuperlach dpa_ry from garching forschungszentrum
14,1 ,how may i get from garching to mnchner freiheit as fast as possible
52,1 ,in need to be at hauptbahnhof at pm may you search a connection from garching forschungszentrum
205,0 ,when does the next bus leaves in garching forschungszentrum
197,0 ,when does the next freight_train leaves from quiddestrae
63,1 ,can you find the shortest way from moosfeld to milbertshofen?
49,1 ,during need to be near hauptbahnhof near ##a.m. should yourself search a relation from garching forschungszentrum
21,1 ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
130,1 ,why should i get from mossach to garching forschungszentrum
136,1 ,why should i get from garching forschungszentrum to odeonsplatz
146,1 ,how can i get from garching forschungszentrum to kurt-eisner-straße?
268,0 ,Next Bus in quiddestrae
384,1 ,how can i get from garching to milbertshofen?
388,1 ,how will i get from garching to milbertshofen
86,1 ,is there a bus from garching to moosach at around 5?
168,0 ,when Is another last u Leaving from garching
246,0 ,y'know bot when does the next bus starts at garching
297,1 ,how can i get from quiddestraße to boltzmannstraße?
417,1 ,how to get from bonnerplatz to freimann
182,0 ,when the next train in garching is leaving?
391,0 ,When Does this Next missile leaves in garching forschungszentrum
401,1 ,how to get from untere strassaecker 21 to frötmaning
355,1 ,how can i get from garching to sendlinger tor?
0,1 ,what's the shortest connection between quiddestraße and odeonsplatz?
416,1 ,why to get from garching to perlach
38,1 ,could You find a link in olympiazentrum to lehel At noon
